term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(age_1_5_years_10)2,0.05510494104041348,0.027740710630492448,1.9864286021513238,0.047563609229980756,age_1_5_years_10,Butyricicoccus_sp_AM29_23AC,0.047563609229980756
factor(age_5_10_years_10)2,-0.008611639537081144,0.021934994015237044,-0.39259821685381396,0.6947934887375808,age_5_10_years_10,Butyricicoccus_sp_AM29_23AC,0.6947934887375808
factor(age_10_18_years_10)2,-0.011548471509003181,0.022498655776638475,-0.5132960663807551,0.6079844031805044,age_10_18_years_10,Butyricicoccus_sp_AM29_23AC,0.6079844031805044
factor(age_1_5_years_11)2,-0.005641235762956486,0.0241765733494509,-0.2333347940345984,0.8156028148309705,age_1_5_years_11,Butyricicoccus_sp_AM29_23AC,0.8156028148309705
factor(age_5_10_years_11)2,0.00992561883059181,0.021296915980022653,0.46605897491929965,0.6413882880961002,age_5_10_years_11,Butyricicoccus_sp_AM29_23AC,0.6413882880961002
factor(age_10_18_years_11)2,-0.029223097527036862,0.022690952224292828,-1.2878744460865221,0.19842071632908592,age_10_18_years_11,Butyricicoccus_sp_AM29_23AC,0.19842071632908592
factor(age_1_5_years_12)2,-0.036210969377814026,0.01957542859918214,-1.8498174481516547,0.0649647267796247,age_1_5_years_12,Butyricicoccus_sp_AM29_23AC,0.0649647267796247
factor(age_5_10_years_12)2,-0.03797106639356526,0.021397418409808265,-1.7745629713984505,0.07661456782874072,age_5_10_years_12,Butyricicoccus_sp_AM29_23AC,0.07661456782874072
factor(age_10_18_years_12)2,-0.0375860147886965,0.023271190596382278,-1.6151307185176675,0.10695060796163151,age_10_18_years_12,Butyricicoccus_sp_AM29_23AC,0.10695060796163151
factor(breast_fed)2,-0.13461577257684232,0.08832133036523473,-1.5241592491889153,0.12814007038197028,breast_fed,Agathobaculum_butyriciproducens,0.12814007038197028
factor(baby_food)2,2.255566266169989e-4,0.10102889377221715,0.0022325952328602727,0.9982195975102939,baby_food,Agathobaculum_butyriciproducens,0.9982195975102939
factor(family_food)2,0.04248728787112322,0.1686544606472218,0.25191914704227597,0.8012136789211164,family_food,Agathobaculum_butyriciproducens,0.8012136789211164
factor(age_4_12_months_3)2,-0.11613772530251763,0.08278421119170591,-1.4028970455921115,0.16130497664792165,age_4_12_months_3,Agathobaculum_butyriciproducens,0.16130497664792165
factor(age_1_5_years_3)2,-0.10785860084034805,0.08158408547290023,-1.322054420481007,0.18679035735446844,age_1_5_years_3,Agathobaculum_butyriciproducens,0.18679035735446844
factor(age5_10_years_3)2,-0.08357502910393141,0.08024352229225684,-1.04151745482384,0.298168634200452,age5_10_years_3,Agathobaculum_butyriciproducens,0.298168634200452
factor(age_10_18_years_3)2,-0.21178002061054704,0.07866489330899919,-2.692179595015349,0.007350977009518332,age_10_18_years_3,Agathobaculum_butyriciproducens,0.007350977009518332
factor(age_1_5_years_5)2,-0.13669203269628646,0.08644982530871079,-1.581171878695667,0.11451000534712666,age_1_5_years_5,Agathobaculum_butyriciproducens,0.11451000534712666
factor(age_5_10_years_5)2,-0.0228801897620622,0.07590423211102001,-0.3014349677972749,0.7632155870959539,age_5_10_years_5,Agathobaculum_butyriciproducens,0.7632155870959539
factor(age_10_18_years_5)2,-0.04049152274261529,0.07441678508488969,-0.544118140771941,0.5866176559641338,age_10_18_years_5,Agathobaculum_butyriciproducens,0.5866176559641338
factor(age_1_5_years_6)2,-0.06984601155041152,0.07962620832024744,-0.8771736470170588,0.38083856789742776,age_1_5_years_6,Agathobaculum_butyriciproducens,0.38083856789742776
factor(age_5_10_years_6)2,0.011697999776947101,0.0829579558098163,0.1410111864830075,0.8879212651037836,age_5_10_years_6,Agathobaculum_butyriciproducens,0.8879212651037836
factor(age_10_18_years_6)2,0.0408274332694997,0.0872970003568425,0.46768426294844123,0.6402262520186063,age_10_18_years_6,Agathobaculum_butyriciproducens,0.6402262520186063
factor(age_1_5_years_7)2,-0.024461915942935748,0.08314419307221584,-0.29421075650694056,0.768726201108729,age_1_5_years_7,Agathobaculum_butyriciproducens,0.768726201108729
factor(age_5_10_years_7)2,0.037216963148567934,0.0926126446598559,0.40185617509635907,0.6879717741299449,age_5_10_years_7,Agathobaculum_butyriciproducens,0.6879717741299449
factor(age_10_18_years_7)2,0.039623782721173374,0.10453555033798252,0.3790460048573184,0.7048241544171541,age_10_18_years_7,Agathobaculum_butyriciproducens,0.7048241544171541
factor(age_1_5_years_8)2,0.02410147078452294,0.08469423723230739,0.2845703742323712,0.7760983828198094,age_1_5_years_8,Agathobaculum_butyriciproducens,0.7760983828198094
factor(age_5_10_years_8)2,0.141532583354628,0.07667969982196295,1.8457633986992945,0.06555393976748791,age_5_10_years_8,Agathobaculum_butyriciproducens,0.06555393976748791
factor(age_10_18_years_8)2,0.1672792148092839,0.0761749256529563,2.195987897269341,0.028581729652189577,age_10_18_years_8,Agathobaculum_butyriciproducens,0.028581729652189577
factor(age_1_5_yers_9)2,0.010059537271600487,0.08015856131643766,0.12549548178502096,0.9001847355869108,age_1_5_yers_9,Agathobaculum_butyriciproducens,0.9001847355869108
factor(age_5_10_years_9)2,0.12452394940641015,0.07748621168740799,1.607046553117864,0.10871287421616521,age_5_10_years_9,Agathobaculum_butyriciproducens,0.10871287421616521
factor(age_10_18_years_9)2,0.1664474031344832,0.08015556027311965,2.0765546715328957,0.0383831912731776,age_10_18_years_9,Agathobaculum_butyriciproducens,0.0383831912731776
factor(age_1_5_years_10)2,-0.14680433384179722,0.10327328858394719,-1.421513112003451,0.1558280215081782,age_1_5_years_10,Agathobaculum_butyriciproducens,0.1558280215081782
factor(age_5_10_years_10)2,-0.06324653752933576,0.08145570750198143,-0.7764531113770913,0.43787040772964836,age_5_10_years_10,Agathobaculum_butyriciproducens,0.43787040772964836
factor(age_10_18_years_10)2,0.014495802514324616,0.08360922641973609,0.17337563251156765,0.8624305039031089,age_10_18_years_10,Agathobaculum_butyriciproducens,0.8624305039031089
factor(age_1_5_years_11)2,-0.1029956048492273,0.08970316838293332,-1.148182463405863,0.2514760572171689,age_1_5_years_11,Agathobaculum_butyriciproducens,0.2514760572171689
factor(age_5_10_years_11)2,-0.11332511036893918,0.07896989322749377,-1.4350419601363278,0.1519374175812995,age_5_10_years_11,Agathobaculum_butyriciproducens,0.1519374175812995
factor(age_10_18_years_11)2,0.08717982492251258,0.08435559730102739,1.033480026362765,0.30190853980738636,age_10_18_years_11,Agathobaculum_butyriciproducens,0.30190853980738636
factor(age_1_5_years_12)2,-0.013058399073259244,0.07298866088411132,-0.17890996923471283,0.8580851640420286,age_1_5_years_12,Agathobaculum_butyriciproducens,0.8580851640420286
factor(age_5_10_years_12)2,0.03709489942329509,0.07974364409370288,0.4651768782939826,0.6420193322385124,age_5_10_years_12,Agathobaculum_butyriciproducens,0.6420193322385124
factor(age_10_18_years_12)2,0.01426694548398416,0.08669484052023674,0.16456510443264383,0.8693567495525284,age_10_18_years_12,Agathobaculum_butyriciproducens,0.8693567495525284
factor(breast_fed)2,0.0107862358190203,0.07670172647255045,0.14062572402304935,0.888225745094995,breast_fed,Clostridium_fessum,0.888225745094995
factor(baby_food)2,-0.027644037441124925,0.08962084921853922,-0.30845542842062695,0.7578727682892263,baby_food,Clostridium_fessum,0.7578727682892263
